3, Female, Maharashtra, 6635177378, 161.86 cm, 68.09 kg
19, Female, Telangana, 8261863258, 158.13 cm, 69.62 kg
66, Female, Punjab, 9823832343, 172.26 cm, 72.08 kg
38, Female, Andhra Pradesh, 7174642424, 147.85 cm, 77.81 kg
67, Male, Uttarakhand, 6555267617, 185.52 cm, 64.6 kg
57, Female, Manipur, 9344484267, 169.14 cm, 78.9 kg
45, Male, Uttarakhand, 9624155448, 161.75 cm, 76.37 kg
34, Female, Assam, 6713366528, 157.11 cm, 73.11 kg
50, Male, Tripura, 7876643413, 163.9 cm, 74.98 kg
92, Male, Sikkim, 9146123338, 138.33 cm, 70.88 kg
89, Male, Rajasthan, 8357617435, 154.58 cm, 73.16 kg
60, Female, Arunachal Pradesh, 9335352824, 131.46 cm, 71.16 kg
40, Male, Tripura, 6632531766, 161.76 cm, 75.92 kg
65, Male, Sikkim, 8587574546, 162.01 cm, 75.18 kg
13, Male, Manipur, 7661367826, 166.49 cm, 69.28 kg
75, Male, Haryana, 8321261832, 163.27 cm, 66.28 kg
62, Male, Andhra Pradesh, 7246556822, 173.52 cm, 67.66 kg
70, Male, Madhya Pradesh, 9738428885, 161.05 cm, 73.73 kg
18, Female, Uttar Pradesh, 7884145633, 159.26 cm, 71.05 kg
97, Female, Jharkhand, 8446731854, 152.76 cm, 73.49 kg
59, Male, Tamil Nadu, 8577674615, 159.08 cm, 73.45 kg
91, Female, West Bengal, 7143557277, 151.54 cm, 75.18 kg
73, Female, Haryana, 9878337655, 170.77 cm, 69.55 kg
32, Male, Manipur, 6884531182, 154.59 cm, 65.03 kg
48, Female, Odisha, 6343368165, 159.56 cm, 66.44 kg
25, Female, Karnataka, 7751682548, 168.07 cm, 63.3 kg
3, Female, Himachal Pradesh, 9773736238, 169.83 cm, 67.98 kg
13, Female, Madhya Pradesh, 9677538451, 164.33 cm, 71.04 kg
29, Male, Tamil Nadu, 6768727358, 170.6 cm, 70.89 kg
82, Female, Telangana, 6855858817, 162.27 cm, 71.34 kg
71, Male, Gujarat, 9575333582, 167.64 cm, 62.17 kg
97, Male, Odisha, 7526164277, 158.86 cm, 76.11 kg
46, Female, Bihar, 8332633478, 150.45 cm, 69.47 kg
89, Female, Assam, 9222714223, 147.19 cm, 77.0 kg
95, Female, Meghalaya, 9471335216, 161.7 cm, 65.64 kg
42, Female, Nagaland, 6454777833, 162.4 cm, 69.48 kg
67, Male, Goa, 8215317475, 163.44 cm, 76.02 kg
25, Male, Bihar, 7584358726, 153.95 cm, 74.62 kg
50, Male, Madhya Pradesh, 9766884827, 166.93 cm, 79.77 kg
91, Male, Uttarakhand, 9558844421, 159.6 cm, 62.38 kg
33, Male, Sikkim, 9741444664, 172.32 cm, 66.47 kg
96, Male, Haryana, 7851266284, 172.83 cm, 71.56 kg
11, Female, Karnataka, 7132455315, 159.05 cm, 74.84 kg
25, Male, Bihar, 9261316541, 165.92 cm, 71.78 kg
57, Female, Bihar, 9824576388, 159.56 cm, 64.82 kg
43, Female, Rajasthan, 9257666742, 168.72 cm, 77.47 kg
61, Female, Karnataka, 6268272526, 173.9 cm, 65.93 kg
40, Male, Rajasthan, 6345164774, 147.82 cm, 68.1 kg
25, Male, Rajasthan, 9515326681, 154.74 cm, 64.17 kg
74, Female, Goa, 6115288185, 146.0 cm, 68.58 kg
72, Female, Rajasthan, 9685131485, 156.97 cm, 68.52 kg
68, Male, Gujarat, 8812425512, 143.0 cm, 67.55 kg
12, Female, Haryana, 6158224618, 153.48 cm, 63.08 kg
71, Male, Chhattisgarh, 6783217378, 148.95 cm, 68.24 kg
16, Male, Nagaland, 8314118676, 156.4 cm, 69.39 kg
68, Female, Andhra Pradesh, 7562648524, 170.56 cm, 67.52 kg
41, Male, Arunachal Pradesh, 7835638458, 170.58 cm, 64.73 kg
18, Male, Nagaland, 7723347171, 144.24 cm, 73.31 kg
69, Female, Uttarakhand, 6341481717, 155.6 cm, 69.63 kg
43, Female, Manipur, 7134664846, 150.07 cm, 76.59 kg
39, Female, Kerala, 9328232611, 160.24 cm, 73.33 kg
43, Female, Uttar Pradesh, 8418838485, 150.17 cm, 62.97 kg
48, Male, Kerala, 7841335778, 157.62 cm, 74.49 kg
64, Female, Karnataka, 6272572742, 141.83 cm, 67.34 kg
53, Male, Haryana, 8162522424, 172.05 cm, 75.59 kg
43, Male, Haryana, 7266332555, 149.91 cm, 66.23 kg
3, Female, Nagaland, 6657826788, 158.93 cm, 77.73 kg
8, Male, Maharashtra, 6665623851, 158.9 cm, 63.05 kg
56, Male, Punjab, 9285483131, 164.61 cm, 72.83 kg
71, Female, Arunachal Pradesh, 8646344626, 156.13 cm, 63.16 kg
45, Female, Rajasthan, 9287258615, 150.9 cm, 63.68 kg
20, Female, Telangana, 9818684361, 165.64 cm, 75.07 kg
3, Female, West Bengal, 7738774551, 171.45 cm, 77.57 kg
76, Male, Bihar, 6124417576, 163.48 cm, 72.65 kg
28, Male, Sikkim, 7736563571, 160.15 cm, 66.27 kg
84, Male, Madhya Pradesh, 8866325358, 157.7 cm, 74.97 kg
83, Male, Arunachal Pradesh, 8134665577, 153.93 cm, 75.69 kg
75, Male, Bihar, 6765366721, 152.25 cm, 65.63 kg
33, Female, Tripura, 9384123541, 168.2 cm, 58.73 kg
29, Male, Himachal Pradesh, 9278627175, 145.46 cm, 82.84 kg
3, Male, Nagaland, 7383458432, 169.27 cm, 65.46 kg
80, Male, Manipur, 7526172822, 156.5 cm, 72.32 kg
3, Female, Tamil Nadu, 8538213877, 165.29 cm, 70.57 kg
93, Female, Haryana, 9685717236, 177.24 cm, 69.81 kg
10, Male, Gujarat, 8786386376, 163.43 cm, 54.55 kg
35, Male, Meghalaya, 7638117674, 166.1 cm, 69.99 kg
26, Male, Arunachal Pradesh, 7184248436, 164.45 cm, 67.32 kg
36, Female, Chhattisgarh, 6357273354, 155.92 cm, 72.0 kg
9, Male, Himachal Pradesh, 7486473847, 164.71 cm, 69.93 kg
76, Male, Haryana, 6485163273, 151.45 cm, 78.46 kg
17, Female, Nagaland, 6758373455, 183.07 cm, 78.77 kg
42, Female, Rajasthan, 8453318128, 179.49 cm, 77.27 kg
8, Male, Maharashtra, 9176774857, 159.54 cm, 75.37 kg
61, Male, Tamil Nadu, 8528463654, 175.68 cm, 63.73 kg
82, Male, Madhya Pradesh, 9244122365, 158.99 cm, 74.17 kg
9, Female, Himachal Pradesh, 9137873563, 147.49 cm, 65.82 kg
59, Male, Uttar Pradesh, 8477761176, 153.75 cm, 71.86 kg
72, Male, Nagaland, 8355552117, 158.58 cm, 70.25 kg
69, Female, Tamil Nadu, 7731834387, 182.03 cm, 72.02 kg
4, Male, Assam, 6355875687, 163.19 cm, 70.3 kg
56, Female, Uttarakhand, 9641287388, 155.79 cm, 77.07 kg
57, Female, Bihar, 6851411462, 155.9 cm, 70.22 kg
66, Female, Bihar, 9516134673, 150.2 cm, 71.14 kg
77, Male, Maharashtra, 6183367763, 155.76 cm, 74.23 kg
76, Female, Jharkhand, 8372436361, 175.35 cm, 74.16 kg
57, Male, Meghalaya, 7738637783, 148.12 cm, 71.36 kg
46, Male, Uttarakhand, 6341641461, 163.86 cm, 67.57 kg
20, Male, Nagaland, 8433244118, 121.59 cm, 68.72 kg
49, Female, Uttarakhand, 6741718752, 159.55 cm, 65.38 kg
66, Female, Telangana, 6285685135, 179.46 cm, 67.24 kg
57, Male, Meghalaya, 6533442378, 177.87 cm, 64.4 kg
7, Female, Karnataka, 9821614434, 140.17 cm, 65.42 kg
58, Female, Mizoram, 6768154424, 167.08 cm, 68.68 kg
74, Male, Punjab, 7758172687, 172.78 cm, 77.3 kg
73, Male, Meghalaya, 6465271122, 156.0 cm, 69.09 kg
81, Male, Tamil Nadu, 6418225618, 159.08 cm, 62.27 kg
35, Male, Assam, 8257675143, 164.01 cm, 71.71 kg
42, Male, Andhra Pradesh, 6832481472, 161.07 cm, 72.28 kg
4, Female, Bihar, 9224554717, 172.52 cm, 67.53 kg
17, Female, Maharashtra, 8437268885, 152.73 cm, 68.84 kg
99, Female, Haryana, 7766722683, 153.08 cm, 73.13 kg
79, Female, Punjab, 9423258125, 183.86 cm, 67.59 kg
84, Male, Himachal Pradesh, 9333231426, 155.85 cm, 71.85 kg
58, Male, Goa, 6377275411, 159.89 cm, 68.72 kg
58, Male, Andhra Pradesh, 7362552743, 178.08 cm, 66.94 kg
81, Female, Nagaland, 9745572381, 176.46 cm, 61.12 kg
44, Male, Meghalaya, 9717313413, 143.52 cm, 78.64 kg
31, Female, West Bengal, 8363357327, 147.5 cm, 74.17 kg
23, Male, Manipur, 8534747816, 156.22 cm, 70.5 kg
18, Female, Himachal Pradesh, 8581267613, 163.23 cm, 65.13 kg
66, Female, Uttar Pradesh, 7618675442, 163.28 cm, 64.91 kg
57, Male, Tamil Nadu, 8572862464, 146.05 cm, 74.82 kg
4, Male, Andhra Pradesh, 8434275783, 170.44 cm, 76.26 kg
58, Male, Bihar, 9517662317, 161.84 cm, 74.58 kg
79, Male, Punjab, 6447354288, 169.49 cm, 67.42 kg
72, Male, Rajasthan, 8682125253, 163.32 cm, 72.43 kg
65, Male, Goa, 7888522542, 151.58 cm, 64.18 kg
66, Male, Mizoram, 6581525672, 163.81 cm, 71.42 kg
85, Male, Himachal Pradesh, 7711214462, 177.08 cm, 76.3 kg
78, Female, Bihar, 7557643118, 162.45 cm, 68.3 kg
73, Male, Kerala, 7648266133, 155.06 cm, 79.16 kg
41, Female, Arunachal Pradesh, 9747364414, 153.12 cm, 68.55 kg
51, Male, Andhra Pradesh, 8783472617, 160.33 cm, 82.08 kg
32, Male, Uttarakhand, 6453613665, 149.8 cm, 60.89 kg
39, Male, Himachal Pradesh, 8176276374, 150.33 cm, 77.06 kg
64, Female, Maharashtra, 6777763737, 158.64 cm, 70.29 kg
84, Male, Kerala, 6383581578, 155.57 cm, 69.13 kg
17, Female, Himachal Pradesh, 9432321581, 166.46 cm, 63.85 kg
33, Female, Maharashtra, 6713643868, 163.1 cm, 73.02 kg
19, Female, Rajasthan, 9452286863, 140.99 cm, 71.85 kg
51, Male, Bihar, 7872811416, 148.74 cm, 72.33 kg
23, Female, Assam, 8878453456, 151.25 cm, 80.77 kg
84, Male, Mizoram, 8367858356, 151.16 cm, 70.36 kg
58, Female, Haryana, 8884276245, 176.13 cm, 72.46 kg
59, Male, Rajasthan, 6342643371, 161.02 cm, 72.6 kg
51, Female, Andhra Pradesh, 7573862721, 153.55 cm, 63.72 kg
92, Female, Himachal Pradesh, 8811618828, 148.53 cm, 64.45 kg
82, Male, Jharkhand, 9345236867, 157.05 cm, 74.09 kg
1, Male, Meghalaya, 6214341786, 136.68 cm, 72.35 kg
53, Male, Assam, 7347646836, 160.65 cm, 72.2 kg
74, Female, Haryana, 7852437333, 176.61 cm, 63.9 kg
10, Male, Tripura, 8881344235, 150.22 cm, 68.29 kg
16, Female, Punjab, 7267233334, 143.74 cm, 58.61 kg
67, Female, Nagaland, 9551882147, 169.53 cm, 72.73 kg
39, Female, Rajasthan, 6262464721, 166.32 cm, 69.63 kg
20, Female, Bihar, 9577351185, 167.13 cm, 69.62 kg
76, Male, Chhattisgarh, 9211834354, 157.34 cm, 67.44 kg
14, Male, Mizoram, 7765411242, 155.02 cm, 67.08 kg
60, Female, Manipur, 7365554687, 162.12 cm, 67.69 kg
39, Female, Goa, 8374448362, 150.9 cm, 74.53 kg
93, Female, Karnataka, 7843436262, 154.57 cm, 79.43 kg
42, Male, Andhra Pradesh, 6678275668, 177.11 cm, 63.44 kg
23, Male, Uttar Pradesh, 6681287324, 166.33 cm, 68.34 kg
78, Male, Karnataka, 9562436612, 162.78 cm, 68.72 kg
41, Female, Maharashtra, 9654521774, 158.81 cm, 67.52 kg
95, Female, Bihar, 9148548421, 168.35 cm, 75.06 kg
79, Female, Tamil Nadu, 6658166825, 158.3 cm, 60.28 kg
34, Female, Jharkhand, 8773675328, 142.72 cm, 72.55 kg
70, Male, Arunachal Pradesh, 6257675384, 152.81 cm, 67.66 kg
85, Male, Meghalaya, 8774673266, 168.16 cm, 63.7 kg
77, Male, Jharkhand, 8364657235, 160.23 cm, 55.41 kg
69, Male, Manipur, 9775557335, 170.66 cm, 67.35 kg
92, Male, Chhattisgarh, 9258246522, 158.61 cm, 75.16 kg
13, Female, Gujarat, 8433218423, 151.98 cm, 69.08 kg
96, Male, Maharashtra, 6281245743, 150.6 cm, 71.13 kg
54, Male, Sikkim, 7317823145, 171.6 cm, 73.21 kg
13, Female, Mizoram, 8383784312, 145.3 cm, 75.18 kg
61, Female, Haryana, 6883384784, 160.66 cm, 66.83 kg
93, Female, Odisha, 9566357822, 152.8 cm, 75.51 kg
67, Female, Tripura, 8317364516, 155.94 cm, 70.9 kg
31, Female, Haryana, 6572412626, 162.73 cm, 65.63 kg
61, Male, Nagaland, 8757428886, 156.68 cm, 80.34 kg
37, Female, Manipur, 8812312214, 167.48 cm, 69.94 kg
36, Male, Maharashtra, 7337724512, 152.53 cm, 75.25 kg
25, Male, Chhattisgarh, 7857775682, 170.37 cm, 82.8 kg
27, Male, Telangana, 9146258882, 152.27 cm, 65.09 kg
43, Female, Goa, 6248354131, 177.56 cm, 65.4 kg
81, Female, Tripura, 7318316221, 157.06 cm, 66.94 kg
90, Male, Madhya Pradesh, 7572328541, 158.28 cm, 65.7 kg
10, Male, Uttar Pradesh, 7326784416, 155.22 cm, 82.86 kg
57, Female, Mizoram, 7428567372, 159.66 cm, 73.04 kg
3, Female, Kerala, 6527368447, 158.92 cm, 73.52 kg
59, Male, Madhya Pradesh, 6147415886, 153.89 cm, 69.89 kg
6, Male, Maharashtra, 6311854633, 150.67 cm, 68.1 kg
15, Female, Manipur, 7132715133, 152.57 cm, 73.13 kg
3, Female, Gujarat, 7431742545, 184.34 cm, 72.49 kg
71, Female, Kerala, 8772443847, 159.69 cm, 75.52 kg
19, Male, Tripura, 9486152481, 151.14 cm, 68.47 kg
7, Female, West Bengal, 8682246224, 167.97 cm, 71.51 kg
7, Male, Rajasthan, 9334364432, 155.31 cm, 57.71 kg
18, Female, Gujarat, 6734674115, 156.1 cm, 68.98 kg
78, Male, Punjab, 8215688758, 161.06 cm, 75.1 kg
95, Male, Mizoram, 8186422635, 165.93 cm, 67.62 kg
85, Female, Himachal Pradesh, 7216567248, 153.96 cm, 77.05 kg
62, Male, Tamil Nadu, 9244187818, 159.8 cm, 62.08 kg
24, Female, Meghalaya, 9284765587, 152.73 cm, 60.96 kg
96, Male, Uttarakhand, 6218674827, 176.79 cm, 68.38 kg
9, Female, Karnataka, 9828742338, 162.82 cm, 65.48 kg
56, Male, Andhra Pradesh, 7527572428, 155.7 cm, 75.85 kg
6, Female, Tamil Nadu, 6478831654, 150.14 cm, 72.32 kg
64, Male, Andhra Pradesh, 9284476828, 155.99 cm, 73.63 kg
92, Male, Himachal Pradesh, 8157168218, 172.86 cm, 73.53 kg
91, Female, Andhra Pradesh, 6283126424, 170.8 cm, 72.65 kg
78, Female, Chhattisgarh, 7556411756, 163.56 cm, 67.05 kg
36, Male, Odisha, 9783131824, 152.26 cm, 69.55 kg
22, Male, Karnataka, 6781516183, 156.9 cm, 62.95 kg
36, Male, Sikkim, 8623855243, 141.66 cm, 68.48 kg
30, Male, Telangana, 6583214737, 159.36 cm, 71.84 kg
95, Female, Gujarat, 7578815623, 166.1 cm, 64.69 kg
37, Female, Tripura, 8332744572, 162.18 cm, 63.94 kg
27, Female, Manipur, 8556364481, 167.76 cm, 75.1 kg
62, Male, Odisha, 7165772272, 164.53 cm, 62.15 kg
61, Male, Gujarat, 9882485281, 168.78 cm, 74.3 kg
70, Male, Madhya Pradesh, 8135787243, 153.0 cm, 71.99 kg
63, Male, Madhya Pradesh, 9331644846, 168.02 cm, 64.94 kg
81, Female, Chhattisgarh, 8487861742, 171.81 cm, 68.26 kg
60, Female, Jharkhand, 6154251666, 162.18 cm, 73.49 kg
35, Female, Tamil Nadu, 7664612753, 155.38 cm, 70.26 kg
40, Male, Goa, 7158876463, 166.0 cm, 69.71 kg
2, Male, Uttar Pradesh, 6823428868, 181.78 cm, 76.64 kg
83, Male, Goa, 7817537741, 176.91 cm, 65.37 kg
95, Female, Haryana, 6526337787, 178.72 cm, 73.76 kg
27, Female, Meghalaya, 6446126661, 182.73 cm, 76.25 kg
12, Female, Bihar, 7877438382, 169.79 cm, 67.22 kg
88, Female, Sikkim, 7763351451, 159.57 cm, 71.88 kg
63, Male, Manipur, 6761544233, 163.51 cm, 69.53 kg
19, Female, Jharkhand, 7646221535, 173.59 cm, 77.25 kg
5, Male, Mizoram, 9413247332, 173.96 cm, 70.42 kg
71, Male, Chhattisgarh, 8253757186, 163.62 cm, 67.1 kg
3, Female, Jharkhand, 9866243824, 147.03 cm, 72.93 kg
82, Female, Kerala, 8725452848, 163.37 cm, 77.99 kg
66, Female, Bihar, 6667575563, 156.87 cm, 64.7 kg
23, Male, Odisha, 8434767114, 172.86 cm, 67.57 kg
53, Male, Punjab, 8484815334, 165.37 cm, 66.26 kg
2, Male, Madhya Pradesh, 7677547861, 148.57 cm, 63.43 kg
3, Female, Maharashtra, 9261235826, 157.97 cm, 66.96 kg
84, Female, Rajasthan, 9252537678, 151.93 cm, 72.87 kg
35, Male, Mizoram, 6814613311, 147.96 cm, 65.45 kg
64, Male, Goa, 7488225261, 162.13 cm, 69.08 kg
98, Female, Uttar Pradesh, 7813565133, 173.85 cm, 71.65 kg
64, Female, Telangana, 8534175426, 158.8 cm, 65.92 kg
74, Female, Sikkim, 6676758187, 160.02 cm, 68.67 kg
67, Male, Kerala, 9468115831, 169.74 cm, 65.29 kg
14, Female, Tripura, 7138312444, 141.83 cm, 69.43 kg
87, Male, Tripura, 9462666288, 159.29 cm, 74.73 kg
24, Male, Goa, 6783315637, 143.87 cm, 62.65 kg
23, Female, Madhya Pradesh, 7512672335, 184.11 cm, 74.25 kg
39, Female, Goa, 8487216123, 169.22 cm, 67.13 kg
43, Male, Maharashtra, 9183713337, 160.08 cm, 66.84 kg
83, Male, Madhya Pradesh, 7827723266, 135.63 cm, 74.5 kg
6, Female, Jharkhand, 9767332788, 174.61 cm, 69.24 kg
47, Male, Bihar, 7586258675, 167.3 cm, 74.04 kg
97, Female, Sikkim, 6713413443, 163.43 cm, 68.85 kg
80, Male, Uttar Pradesh, 9525444531, 171.67 cm, 73.2 kg
78, Female, Punjab, 8647514145, 145.97 cm, 80.08 kg
55, Male, Kerala, 9241246648, 161.18 cm, 68.37 kg
38, Female, Uttar Pradesh, 7554273431, 153.73 cm, 63.84 kg
76, Female, Nagaland, 7428348458, 148.38 cm, 66.3 kg
5, Male, Manipur, 7351541153, 196.11 cm, 75.05 kg
13, Male, Goa, 6511157247, 149.11 cm, 59.04 kg
82, Male, West Bengal, 6282256585, 155.53 cm, 76.37 kg
71, Male, Uttar Pradesh, 6773787584, 153.29 cm, 62.28 kg
69, Female, Meghalaya, 8648635461, 166.12 cm, 60.4 kg
26, Male, Tamil Nadu, 8272446334, 170.28 cm, 62.17 kg
91, Male, Manipur, 7788522444, 171.43 cm, 70.09 kg
30, Male, Gujarat, 7438871677, 160.83 cm, 71.09 kg
95, Female, Karnataka, 6675563261, 153.91 cm, 69.92 kg
88, Male, Odisha, 7743154842, 156.01 cm, 66.04 kg
74, Female, Goa, 8471481711, 171.79 cm, 67.92 kg
81, Female, Kerala, 7617413623, 152.64 cm, 71.11 kg
84, Female, Tripura, 6865445427, 166.96 cm, 63.25 kg
6, Female, Andhra Pradesh, 6158317646, 166.63 cm, 66.32 kg
36, Female, West Bengal, 6182233253, 173.31 cm, 83.16 kg
50, Male, Rajasthan, 9312558362, 157.24 cm, 75.15 kg
71, Female, Arunachal Pradesh, 6161887645, 155.88 cm, 64.49 kg
17, Female, Himachal Pradesh, 9546265152, 178.41 cm, 68.48 kg
62, Male, Karnataka, 7251258417, 166.29 cm, 67.33 kg
97, Female, Uttar Pradesh, 7285683524, 165.54 cm, 68.94 kg
96, Male, Maharashtra, 8386286225, 166.89 cm, 71.01 kg
9, Female, Gujarat, 8536522445, 176.77 cm, 71.49 kg
12, Male, Kerala, 7424885358, 160.19 cm, 66.21 kg
60, Female, Mizoram, 6847762186, 151.42 cm, 64.03 kg
12, Male, Himachal Pradesh, 9532176435, 159.74 cm, 66.41 kg
43, Male, Maharashtra, 8323531421, 175.16 cm, 74.4 kg
73, Female, Tamil Nadu, 9786667715, 159.16 cm, 64.42 kg
15, Male, Gujarat, 6718886856, 166.3 cm, 60.08 kg
42, Male, Haryana, 8738434385, 161.8 cm, 68.31 kg
85, Male, Sikkim, 9558848211, 149.11 cm, 68.74 kg
27, Male, Rajasthan, 8647675537, 146.05 cm, 74.7 kg
38, Female, Madhya Pradesh, 9576673638, 153.49 cm, 63.62 kg
4, Male, Chhattisgarh, 7431743661, 179.55 cm, 69.21 kg
49, Female, Tripura, 9436172321, 172.51 cm, 73.15 kg
74, Female, Manipur, 7246265586, 167.6 cm, 69.67 kg
60, Male, Karnataka, 8868633341, 159.32 cm, 77.27 kg
79, Male, West Bengal, 7448653534, 133.59 cm, 61.09 kg
2, Male, Sikkim, 7265743842, 177.57 cm, 78.49 kg
23, Female, Kerala, 6336824333, 169.7 cm, 67.6 kg
37, Male, Karnataka, 8233861387, 155.89 cm, 63.78 kg
90, Female, Nagaland, 8753222126, 143.59 cm, 58.69 kg
19, Male, Sikkim, 9655627871, 163.22 cm, 77.79 kg
5, Male, Assam, 7714175278, 155.46 cm, 64.75 kg
7, Male, Madhya Pradesh, 9547233356, 174.6 cm, 73.72 kg
77, Female, Meghalaya, 9231823417, 172.07 cm, 73.12 kg
98, Male, Odisha, 9882542441, 159.98 cm, 70.5 kg
30, Male, Rajasthan, 6626121261, 169.39 cm, 71.09 kg
73, Male, Maharashtra, 9451488436, 156.49 cm, 73.82 kg
2, Female, Uttarakhand, 7857543364, 162.53 cm, 69.47 kg
19, Female, Uttar Pradesh, 8185751783, 161.09 cm, 60.1 kg
32, Male, Gujarat, 7772273845, 145.57 cm, 68.95 kg
90, Female, Chhattisgarh, 7522385365, 175.94 cm, 75.76 kg
26, Male, Odisha, 8832388533, 157.06 cm, 63.12 kg
34, Male, Madhya Pradesh, 9142641261, 175.16 cm, 76.74 kg
40, Male, Jharkhand, 7783757536, 179.02 cm, 65.86 kg
17, Male, Manipur, 6484416723, 145.46 cm, 73.17 kg
66, Female, Tamil Nadu, 8221426548, 159.97 cm, 66.37 kg
92, Male, Maharashtra, 9663312618, 178.52 cm, 70.72 kg
74, Female, Gujarat, 7117114614, 147.04 cm, 67.59 kg
49, Female, Nagaland, 8734668467, 170.15 cm, 76.81 kg
33, Male, Madhya Pradesh, 6414861733, 157.8 cm, 75.68 kg
23, Male, Assam, 6236381175, 153.43 cm, 74.64 kg
55, Female, Tamil Nadu, 9458387366, 167.67 cm, 70.4 kg
8, Male, Haryana, 6385636435, 161.0 cm, 66.73 kg
35, Male, Chhattisgarh, 9577157448, 159.33 cm, 67.84 kg
43, Male, Mizoram, 7636135358, 161.99 cm, 68.56 kg
59, Female, Meghalaya, 9186266224, 156.02 cm, 69.51 kg
57, Male, Maharashtra, 6228514362, 158.78 cm, 70.87 kg
99, Female, Uttar Pradesh, 7675255848, 163.4 cm, 78.58 kg
10, Male, Sikkim, 6888627868, 154.21 cm, 70.45 kg
90, Male, Manipur, 6626622488, 156.14 cm, 72.51 kg
60, Male, Himachal Pradesh, 6522448583, 155.43 cm, 75.23 kg
28, Female, Goa, 6488667281, 159.41 cm, 62.37 kg
70, Female, Manipur, 6547147865, 151.61 cm, 70.27 kg
85, Female, Haryana, 7157313875, 168.41 cm, 76.24 kg
93, Female, Madhya Pradesh, 7817342346, 160.6 cm, 67.31 kg
86, Male, Telangana, 8465115612, 162.5 cm, 72.83 kg
62, Female, Manipur, 6842452317, 177.49 cm, 67.5 kg
26, Female, Maharashtra, 6371317677, 149.68 cm, 70.82 kg
84, Male, Manipur, 7111348286, 143.91 cm, 65.69 kg
39, Male, Madhya Pradesh, 6321747421, 161.73 cm, 59.99 kg
74, Female, Nagaland, 8354517875, 160.78 cm, 71.98 kg
77, Male, Odisha, 9823252584, 163.59 cm, 71.96 kg
21, Female, Karnataka, 6368318172, 154.29 cm, 79.82 kg
8, Female, Assam, 7223125438, 162.83 cm, 67.29 kg
45, Male, Bihar, 9623788247, 177.42 cm, 65.5 kg
51, Male, Gujarat, 6125432385, 164.83 cm, 73.37 kg
85, Female, Assam, 8877544261, 173.4 cm, 86.95 kg
29, Female, Maharashtra, 7424458784, 173.25 cm, 72.46 kg
49, Female, Uttarakhand, 7184333634, 158.36 cm, 69.34 kg
17, Male, Madhya Pradesh, 7141425866, 166.94 cm, 61.28 kg
24, Male, Madhya Pradesh, 7258614466, 170.43 cm, 66.34 kg
6, Female, Bihar, 7412463435, 164.64 cm, 67.26 kg
39, Male, Uttarakhand, 7482583522, 170.88 cm, 67.69 kg
34, Male, Sikkim, 9517724662, 160.66 cm, 74.45 kg
80, Male, Uttarakhand, 7666287151, 156.01 cm, 74.44 kg
71, Male, Haryana, 6566661685, 164.01 cm, 71.25 kg
53, Male, Uttar Pradesh, 9161632827, 158.06 cm, 71.44 kg
83, Male, Chhattisgarh, 9187388361, 165.76 cm, 68.96 kg
13, Male, Kerala, 6533128111, 146.15 cm, 67.41 kg
97, Male, Odisha, 6513281538, 163.75 cm, 72.14 kg
